Name,Gender,"Rating Value","Rating Count","Main Accords",Perfumers,Description,url
"Oui à l'Amour Collector Edition 2018 Yves Rocherfor women","for women",3.57,63,"['amber', 'musky', 'rose', 'vanilla', 'powdery', 'sweet', 'woody', 'aromatic', 'floral']","['Sophie Labbé']","Oui à l'Amour Collector Edition 2018byYves Rocheris a Amber Floral fragrance for women.Oui à l'Amour Collector Edition 2018was launched in 2018. The nose behind this fragrance is Sophie Labbe. Top note is Angelica; middle note is Rose; base notes are Tonka Bean and Cedar.",https://www.fragrantica.com/perfume/Yves-Rocher/Oui-a-l-Amour-Collector-Edition-2018-53635.html
"Essenze Javanese Patchouli Eau de Parfum Ermenegildo Zegnafor men","for men",4.2,56,"['woody', 'patchouli', 'earthy', 'citrus', 'warm spicy', 'aromatic', 'leather', 'fresh spicy']","['Firmenich', 'Frank Voelkl']","Essenze Javanese Patchouli Eau de ParfumbyErmenegildo Zegnais a Aromatic Spicy fragrance for men.Essenze Javanese Patchouli Eau de Parfumwas launched in 2021. Essenze Javanese Patchouli Eau de Parfum was created by Frank Voelkl and Firmenich. Top notes are Sicilian Bergamot, Pink Pepper and Basil; middle notes are Leather, Vetiver, Cypriol Oil or Nagarmotha and Labdanum; base notes are Patchouli, Clearwood, Cedar and Moss.",https://www.fragrantica.com/perfume/Ermenegildo-Zegna/Essenze-Javanese-Patchouli-Eau-de-Parfum-67581.html
"Nuit d'Amour Guerlainfor women","for women",4.05,294,"['powdery', 'violet', 'musky', 'rose', 'woody', 'iris', 'floral', 'fruity', 'fresh', 'tropical']",[],"Nuit d'AmourbyGuerlainis a Floral Fruity fragrance for women.Nuit d'Amourwas launched in 2006.",https://www.fragrantica.com/perfume/Guerlain/Nuit-d-Amour-14731.html
"Harmonious Boadicea the Victoriousfor women and men","for women and men",4.2,116,"['woody', 'musky', 'powdery', 'iris', 'warm spicy', 'floral', 'leather', 'aromatic', 'earthy', 'amber']",[],"HarmoniousbyBoadicea the Victoriousis a Woody Spicy fragrance for women and men. This is a new fragrance.Harmoniouswas launched in 2022. Top notes are Ambrette (Musk Mallow), Rum, Cognac, Cardamom, Saffron, Bergamot and Cinnamon; middle notes are Orris Root, May Rose, Cashmere Wood and Coriander; base notes are Leather, Musk, Vanilla, Sandalwood, Amber and Vetiver.",https://www.fragrantica.com/perfume/Boadicea-the-Victorious/Harmonious-77383.html
"N.60 InEstasyfor women","for women",,,"['woody', 'floral', 'vanilla', 'rose', 'patchouli', 'soft spicy', 'aromatic', 'green', 'fruity', 'earthy']",[],"N.60byInEstasyis a fragrance for women.",https://www.fragrantica.com/perfume/InEstasy/N-60-59711.html
"Aram Raydanfor women and men","for women and men",,,"['citrus', 'fruity', 'woody', 'fresh spicy', 'sweet', 'aromatic', 'white floral', 'violet', 'rose', 'powdery']",[],"ArambyRaydanis a Floral Fruity fragrance for women and men.Aramwas launched during the 2020's. Top notes are Grapefruit, Bergamot, Orange and Black currant leaf; middle notes are Pineapple, Jasmine, Violet, Melon and Rose; base notes are Patchouli and Cedar.",https://www.fragrantica.com/perfume/Raydan/Aram-90909.html
"Error 407 The Dua Brandfor women and men","for women and men",5,1,"['woody', 'powdery', 'leather', 'citrus', 'fresh spicy', 'vanilla', 'earthy', 'aromatic', 'green', 'warm spicy']",[],"Error 407byThe Dua Brandis a Leather fragrance for women and men.Error 407was launched in 2021.",https://www.fragrantica.com/perfume/The-Dua-Brand/Error-407-86113.html
"Grapefruit Lothantiquefor women and men","for women and men",4.5,2,"['citrus', 'fresh', 'musky', 'fresh spicy']",[],"GrapefruitbyLothantiqueis a Citrus Aromatic fragrance for women and men.",https://www.fragrantica.com/perfume/Lothantique/Grapefruit-34821.html
"Latte Freddo Hilde Solianifor women","for women",3.68,41,"['lactonic', 'sweet', 'vanilla', 'fresh', 'savory']",[],"Latte FreddobyHilde Solianiis a fragrance for women.Latte Freddowas launched in 2021.",https://www.fragrantica.com/perfume/Hilde-Soliani/Latte-Freddo-83507.html
"Chapter Three Frazer Parfumfor women","for women",4.5,2,"['coffee', 'warm spicy']","['Tammy Frazer']","Chapter ThreebyFrazer Parfumis a Amber Floral fragrance for women. The nose behind this fragrance is Tammy Frazer.",https://www.fragrantica.com/perfume/Frazer-Parfum/Chapter-Three-32229.html
"Mais Oui Bourjoisfor women","for women",4.67,9,"['musky', 'animalic', 'amber', 'mossy', 'white floral', 'earthy', 'powdery', 'honey', 'aldehydic', 'rose']",[],"Mais OuibyBourjoisis a Floral Aldehyde fragrance for women.Mais Ouiwas launched in 1938.",https://www.fragrantica.com/perfume/Bourjois/Mais-Oui-29368.html
"Zen for Men White Heat Edition Shiseidofor men","for men",4.12,199,"['aromatic', 'citrus', 'green', 'fresh spicy', 'fruity', 'woody', 'warm spicy', 'musky', 'sweet', 'fresh']",[],"Zen for Men White Heat EditionbyShiseidois a Woody Aromatic fragrance for men.Zen for Men White Heat Editionwas launched in 2011. Top notes are Mint, hassaku, Granny Smith apple and Lime; middle notes are Juniper, Rhododendron and Cardamom; base notes are Musk, Sandalwood, Wormwood and Sage.",https://www.fragrantica.com/perfume/Shiseido/Zen-for-Men-White-Heat-Edition-11036.html
"Tunisian Jasmine Kuumba Madefor women","for women",4.02,41,"['white floral', 'green', 'fresh', 'floral']",[],"Tunisian JasminebyKuumba Madeis a Floral fragrance for women.",https://www.fragrantica.com/perfume/Kuumba-Made/Tunisian-Jasmine-32045.html
"Wild Blackberry & Vanilla Bath & Body Worksfor women","for women",3.83,18,"['vanilla', 'fruity', 'amber', 'powdery', 'sweet', 'woody', 'balsamic']",[],"Wild Blackberry & VanillabyBath & Body Worksis a fragrance for women.Wild Blackberry & Vanillawas launched in 2019.",https://www.fragrantica.com/perfume/Bath-Body-Works/Wild-Blackberry-Vanilla-56364.html
"Rose & Musk URBIS PARFUMSfor women and men","for women and men",,,"['warm spicy', 'musky', 'powdery', 'rose', 'woody', 'metallic', 'leather', 'floral', 'tobacco']","['URBIS PARFUMS']","Rose & MuskbyURBIS PARFUMSis a Amber fragrance for women and men. This is a new fragrance.Rose & Muskwas launched in 2024. The nose behind this fragrance is URBIS PARFUMS.",https://www.fragrantica.com/perfume/URBIS-PARFUMS/Rose-Musk-91408.html
"Salvador Dali Pour Homme Salvador Dalifor men","for men",4.17,"1,151","['aromatic', 'woody', 'earthy', 'fresh spicy', 'soft spicy', 'patchouli', 'anis', 'mossy', 'powdery', 'warm spicy']","['Thierry Wasser']","Salvador Dali Pour HommebySalvador Daliis a Amber Fougere fragrance for men.Salvador Dali Pour Hommewas launched in 1987. The nose behind this fragrance is Thierry Wasser. Top notes are Anise, Clary Sage, Lavender, Tarragon, Basil, Bergamot, Tangerine and Lemon; middle notes are Geranium, Jasmine, Heliotrope and Lily-of-the-Valley; base notes are Patchouli, Oakmoss, Sandalwood, Vetiver, Amber, Cedar and Vanilla.",https://www.fragrantica.com/perfume/Salvador-Dali/Salvador-Dali-Pour-Homme-2250.html
"Floralia Régime des Fleursfor women and men","for women and men",4.33,3,"['white floral', 'floral', 'green', 'fresh', 'musky', 'aromatic']","['Alia Raza', 'Ezra Woods']","FloraliabyRégime des Fleursis a Floral fragrance for women and men.Floraliawas launched in 2015. Floralia was created by Ezra Woods and Alia Raza.",https://www.fragrantica.com/perfume/Regime-des-Fleurs/Floralia-31215.html
"OM Gapfor women and men","for women and men",4.51,98,"['amber', 'woody', 'warm spicy', 'balsamic', 'smoky', 'aromatic', 'oud', 'fresh spicy', 'powdery', 'green']",['IFF'],"OMbyGapis a Woody fragrance for women and men.OMwas launched in 2001. The nose behind this fragrance is IFF. Top notes are Ginger, Cedar, Coriander, Lotus and Green Notes; middle notes are Incense and Olibanum; base notes are Sandalwood, Agarwood (Oud) and Peru Balsam.",https://www.fragrantica.com/perfume/Gap/OM-44741.html
"Elite Boadicea the Victoriousfor women and men","for women and men",3.82,71,"['green', 'floral', 'wine', 'fruity', 'rose', 'sweet', 'woody', 'amber', 'citrus', 'fresh']",[],"ElitebyBoadicea the Victoriousis a Woody Aromatic fragrance for women and men. Top notes are Freesia, Green Notes and Citruses; middle notes are Red Wine, Rose, Copahu Balm, Ivy, Neroli, Jasmine, Geranium, Lavender, Cinnamon and Cloves; base notes are Raspberry, Musk, Birch, Sandalwood, Patchouli, Amber and Guaiac Wood.",https://www.fragrantica.com/perfume/Boadicea-the-Victorious/Elite-18475.html
"Neroli Atelier Rebulfor women and men","for women and men",3.71,7,"['citrus', 'white floral', 'green', 'aromatic', 'fresh', 'fresh spicy']",[],"NerolibyAtelier Rebulis a Floral fragrance for women and men.",https://www.fragrantica.com/perfume/Atelier-Rebul/Neroli-50997.html
"Seta E. Marinellafor women","for women",4,3,"['floral', 'powdery', 'violet', 'white floral', 'fresh', 'anis', 'musky', 'woody', 'soft spicy', 'vanilla']",[],"SetabyE. Marinellais a Floral Woody Musk fragrance for women.Setawas launched in 2001. Top notes are Lily-of-the-Valley, Apricot Blossom and Bergamot; middle notes are Violet, Anise and Tea Rose; base notes are Heliotrope, Cedar and White Musk.",https://www.fragrantica.com/perfume/E-Marinella/Seta-33338.html
"Heliotrope Blanc L.T. Piverfor women","for women",4.23,463,"['almond', 'vanilla', 'powdery', 'sweet', 'floral', 'nutty', 'fruity', 'yellow floral']","['Louis-Toussaint Piver']","Heliotrope BlancbyL.T. Piveris a Floral fragrance for women.Heliotrope Blancwas launched in 1850. The nose behind this fragrance is Louis-Toussaint Piver.",https://www.fragrantica.com/perfume/L-T-Piver/Heliotrope-Blanc-11560.html
"Cocktail Intense Fragrance Worldfor women and men","for women and men",4.64,55,"['warm spicy', 'vanilla', 'woody', 'sweet', 'amber', 'cinnamon', 'fruity']",[],"Cocktail IntensebyFragrance Worldis a Aromatic Spicy fragrance for women and men.Cocktail Intensewas launched in 2021. Top notes are Cognac, Cinnamon and Plum; middle notes are Cashmeran, Myrrh and Iris; base notes are Vanille, Tonka Bean and Sandalwood.",https://www.fragrantica.com/perfume/Fragrance-World/Cocktail-Intense-95180.html
"Je t'M :-) Lulu Castagnettefor women and men","for women and men",3.44,374,"['fruity', 'sweet', 'tropical', 'fresh', 'floral']","['Jérôme Epinette']","Je t'M :-)byLulu Castagnetteis a Floral Fruity fragrance for women and men.Je t'M :-)was launched in 2005. The nose behind this fragrance is Jérôme Epinette. Top notes are Litchi, Peach and Pomegranate; middle notes are Passionfruit, Raspberry, Lotus and Rose; base notes are Musk, Vanilla, Woodsy Notes, Cedar and Amber.",https://www.fragrantica.com/perfume/Lulu-Castagnette/Je-t-M-5024.html
"Arc-en-Ciel № 24 CIEL Parfumfor women","for women",5,1,"['floral', 'rose', 'woody', 'fresh', 'fruity', 'citrus', 'warm spicy', 'powdery']",[],"Arc-en-Ciel № 24byCIEL Parfumis a Floral Fruity fragrance for women. Top notes are Peony and Citruses; middle notes are Osmanthus and Rose; base notes are Sandalwood and Patchouli.",https://www.fragrantica.com/perfume/CIEL-Parfum/Arc-en-Ciel-24-34000.html
"H Pour Homme Fleur de Santefor men","for men",5,1,"['aromatic', 'fresh spicy', 'woody', 'green', 'warm spicy', 'herbal', 'floral', 'sweet', 'earthy', 'powdery']",[],"H Pour HommebyFleur de Santeis a Aromatic fragrance for men. Top notes are Lavender, Basil, Wormwood, Tarragon and Bergamot; middle notes are Geranium, Lily, Patchouli, Clover and Sandalwood; base notes are Coumarin, Oakmoss and Musk.",https://www.fragrantica.com/perfume/Fleur-de-Sante/H-Pour-Homme-29860.html
"208 Cipriolo LabSoluefor women and men","for women and men",,,"['woody', 'amber', 'earthy', 'powdery', 'musky']","['Alexandra Carlin']","208 CipriolobyLabSolueis a Woody fragrance for women and men. The nose behind this fragrance is Alexandra Carlin.",https://www.fragrantica.com/perfume/LabSolue/208-Cipriolo-94258.html
"Secrets du Paradis Rouge Jul et Mad Parisfor women and men","for women and men",4.03,296,"['citrus', 'sweet', 'white floral', 'honey', 'amber', 'almond', 'vanilla', 'floral', 'warm spicy', 'fruity']","['Luca Maffei']","Secrets du Paradis RougebyJul et Mad Parisis a fragrance for women and men.Secrets du Paradis Rougewas launched in 2016. The nose behind this fragrance is Luca Maffei. Top notes are Neroli, Mandarin Orange, Orange, Cloves and Artemisia; middle notes are Honey, Orange Blossom, Almond and Damask Rose; base notes are Benzoin, Vanilla, Amber, Patchouli, Woody Notes and Musk.",https://www.fragrantica.com/perfume/Jul-et-Mad-Paris/Secrets-du-Paradis-Rouge-40701.html
"Deep For Or Tofor women and men","for women and men",4.5,2,"['woody', 'vanilla', 'powdery', 'patchouli', 'earthy', 'warm spicy', 'balsamic', 'musky', 'amber', 'mossy']","['Oleg Razygrin']","DeepbyFor Or Tois a Woody Chypre fragrance for women and men.Deepwas launched in 2017. The nose behind this fragrance is Oleg Razygrin.",https://www.fragrantica.com/perfume/For-Or-To/Deep-54588.html
"Conquer Alta Modafor men","for men",2.33,3,"['aromatic', 'woody', 'fresh spicy', 'citrus', 'amber', 'warm spicy', 'earthy', 'powdery']",[],"ConquerbyAlta Modais a Woody Aromatic fragrance for men. Top notes are Bergamot, Lemon, Rosemary, Verbena and Lavender; middle notes are Basil, Amber, Patchouli, Juniper, Coriander, Cinnamon and Angelica; base notes are Cedar, Leather, Sandalwood, Oakmoss, Fir and Vetiver.",https://www.fragrantica.com/perfume/Alta-Moda/Conquer-26814.html
"Ash & Diamonds Pink Charrier Parfumsfor women","for women",,,"['powdery', 'floral', 'rose', 'citrus', 'woody', 'white floral', 'musky', 'fruity', 'warm spicy', 'fresh']",[],"Ash & Diamonds PinkbyCharrier Parfumsis a Floral Fruity fragrance for women. Top notes are Grapefruit and Green Apple; middle notes are Freesia, Tea Rose and Jasmine; base notes are Musk, Powdery Notes, Woody Notes and Spicy Notes.",https://www.fragrantica.com/perfume/Charrier-Parfums/Ash-Diamonds-Pink-20024.html
"Tantrum Clashfor women","for women",4,1,"['vanilla', 'citrus', 'white floral', 'powdery', 'floral', 'warm spicy', 'amber', 'fresh', 'musky', 'patchouli']",[],"TantrumbyClashis a Chypre Floral fragrance for women.Tantrumwas launched in 2015. Top notes are Bergamot, Freesia, Ginger and Lemon; middle notes are Amber, Lily-of-the-Valley, Patchouli and Jasmine; base notes are Heliotrope, Musk, Tonka Bean and Vanilla.",https://www.fragrantica.com/perfume/Clash/Tantrum-36168.html
"9 Vetiver LabSoluefor women and men","for women and men",,,"['woody', 'aromatic', 'earthy']","['Fabrice Pellegrin']","9 VetiverbyLabSolueis a Woody Aromatic fragrance for women and men. The nose behind this fragrance is Fabrice Pellegrin.",https://www.fragrantica.com/perfume/LabSolue/9-Vetiver-94243.html
"Femme Adorable Collector Edition Angel Schlesserfor women","for women",3.88,8,"['citrus', 'powdery', 'fresh', 'rose', 'white floral', 'floral', 'vanilla', 'woody', 'violet', 'fresh spicy']","['Elise Benat']","Femme Adorable Collector EditionbyAngel Schlesseris a Floral fragrance for women.Femme Adorable Collector Editionwas launched in 2020. The nose behind this fragrance is Elise Benat. Top notes are Bergamot, Citruses and Green Apple; middle notes are Rose, Jasmine Sambac and Violet; base notes are Vanilla, Sandalwood and Musk.",https://www.fragrantica.com/perfume/Angel-Schlesser/Femme-Adorable-Collector-Edition-62098.html
"Glamour Odeclafor women and men","for women and men",,,"['powdery', 'oud', 'woody', 'white floral', 'vanilla', 'rose', 'musky', 'floral', 'warm spicy', 'balsamic']",[],"GlamourbyOdeclais a Amber Floral fragrance for women and men.Glamourwas launched in 2016. Top notes are Jasmine and Rose; middle notes are Vanilla and Agarwood (Oud); base notes are Vanilla, Musk and Sandalwood.",https://www.fragrantica.com/perfume/Odecla/Glamour-62005.html
"LOBITT Santi Burgasfor women and men","for women and men",3.89,27,['citrus'],"['Blanca Dalmau', 'Chris Maurice']","LOBITTbySanti Burgasis a Citrus Aromatic fragrance for women and men.LOBITTwas launched in 2013. LOBITT was created by Blanca Dalmau and Chris Maurice.",https://www.fragrantica.com/perfume/Santi-Burgas/LOBITT-18050.html
"Eau de Cartier Concentree Cartierfor women and men","for women and men",3.98,893,"['citrus', 'woody', 'aromatic', 'ozonic', 'lavender', 'green', 'aquatic', 'fresh spicy', 'sweet', 'soft spicy']","['Christine Nagel']","Eau de Cartier ConcentreebyCartieris a Citrus Aromatic fragrance for women and men.Eau de Cartier Concentreewas launched in 2002. The nose behind this fragrance is Christine Nagel. Top notes are Yuzu and Coriander; middle notes are Violet Leaf and Lavender; base notes are Cedar, Patchouli and White Amber.",https://www.fragrantica.com/perfume/Cartier/Eau-de-Cartier-Concentree-2442.html
"Daisy Eau So Fresh Kiss Marc Jacobsfor women","for women",3.85,122,"['floral', 'rose', 'fresh', 'woody', 'fruity', 'soft spicy', 'amber', 'musky']","['Olivier Cresp']","Daisy Eau So Fresh KissbyMarc Jacobsis a Floral Fruity fragrance for women.Daisy Eau So Fresh Kisswas launched in 2017. The nose behind this fragrance is Olivier Cresp. Top notes are Mandarin Leaf, Pink Pepper and Black Currant; middle notes are Peony, Pink Rose and Cherry Blossom; base notes are Ambroxan, White Woods and Sandalwood.",https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-Eau-So-Fresh-Kiss-42609.html
"Black XS for Her Eau de Parfum Paco Rabannefor women","for women",3.89,804,"['fruity', 'cacao', 'warm spicy', 'vanilla', 'powdery', 'woody', 'sweet', 'rose', 'soft spicy', 'violet']",[],"Black XS for Her Eau de ParfumbyPaco Rabanneis a Amber Woody fragrance for women.Black XS for Her Eau de Parfumwas launched in 2018. Top notes are Cranberry, Pink Pepper and Tamarind; middle notes are Cacao, Rose and Black Violet; base notes are Black Vanilla Husk, Sandalwood and Massoia Wood.",https://www.fragrantica.com/perfume/Paco-Rabanne/Black-XS-for-Her-Eau-de-Parfum-48800.html
"La Collection Couturier Parfumeur Granville Diorfor women","for women",4.04,288,"['aromatic', 'woody', 'fresh spicy', 'citrus']","['François Demachy']","La Collection Couturier Parfumeur GranvillebyDioris a Aromatic fragrance for women.La Collection Couturier Parfumeur Granvillewas launched in 2010. The nose behind this fragrance is François Demachy. Top notes are Lemon, Rosemary and Thyme; middle notes are Pine Tree and Dyer’s Greenweed; base notes are Pepper, Sandalwood and Woody Notes.",https://www.fragrantica.com/perfume/Dior/La-Collection-Couturier-Parfumeur-Granville-10630.html
"Tiki Bay Island Margarita Bath & Body Worksfor women","for women",4.31,35,"['citrus', 'fruity', 'tropical', 'sweet', 'salty', 'whiskey', 'terpenic', 'woody']",[],"Tiki Bay Island MargaritabyBath & Body Worksis a Citrus Aromatic fragrance for women.Tiki Bay Island Margaritawas launched in 2020.",https://www.fragrantica.com/perfume/Bath-Body-Works/Tiki-Bay-Island-Margarita-65879.html
"Aweigh Navitus Parfumsfor women and men","for women and men",3.43,44,"['aromatic', 'citrus', 'fresh spicy', 'lavender', 'sweet', 'woody', 'coconut', 'soft spicy', 'warm spicy', 'green']","['Jorge Lee']","AweighbyNavitus Parfumsis a fragrance for women and men.Aweighwas launched in 2021. The nose behind this fragrance is Jorge Lee. Top notes are Lime, Coconut, Yuzu, Pink Pepper, Grapefruit and Calabrian bergamot; middle notes are Lavender, Clary Sage, Ginger, Geranium, Sandalwood and Nutmeg; base notes are Java vetiver oil, Tonka Bean, Musk and Incense.",https://www.fragrantica.com/perfume/Navitus-Parfums/Aweigh-70070.html
"Thai Sticky Rice Siren Song Elixirsfor women","for women",,,"['sweet', 'lactonic', 'coconut', 'savory']",[],"Thai Sticky RicebySiren Song Elixirsis a Aromatic fragrance for women.Thai Sticky Ricewas launched in 2023.",https://www.fragrantica.com/perfume/Siren-Song-Elixirs/Thai-Sticky-Rice-94776.html
"Dkhoon Rose Dkhoon Emiratesfor women and men","for women and men",5,4,"['warm spicy', 'musky', 'rose', 'citrus', 'white floral', 'vanilla', 'patchouli', 'soft spicy', 'powdery', 'sweet']",[],"Dkhoon RosebyDkhoon Emiratesis a Amber Floral fragrance for women and men. This is a new fragrance.Dkhoon Rosewas launched in 2022. Top notes are Pink Pepper, Mandarin Orange and Cardamom; middle notes are Patchouli, Rose and Jasmine; base notes are Vanilla and Musk.",https://www.fragrantica.com/perfume/Dkhoon-Emirates/Dkhoon-Rose-76463.html
"Dark Rain Bjork and Berriesfor women and men","for women and men",3.9,51,"['woody', 'warm spicy', 'citrus', 'aromatic', 'amber', 'earthy', 'green', 'fresh', 'white floral', 'fresh spicy']","['Jérôme Epinette']","Dark RainbyBjork and Berriesis a Woody Chypre fragrance for women and men.Dark Rainwas launched in 2016. The nose behind this fragrance is Jérôme Epinette. Top notes are Ginger and Tangerine; middle notes are Petitgrain, Geranium and Jasmine; base notes are Amber, Vetiver and Cedar.",https://www.fragrantica.com/perfume/Bjork-and-Berries/Dark-Rain-41112.html
"Essence AXEfor men","for men",3.66,44,"['green', 'fresh', 'warm spicy', 'aromatic', 'fruity', 'woody', 'fresh spicy', 'patchouli']",[],"EssencebyAXEis a Aromatic Green fragrance for men.Essencewas launched in 2000. Top notes are Green Apple and Green Leaves; middle notes are Fig Leaf and Thyme; base notes are Pimento and Patchouli.",https://www.fragrantica.com/perfume/AXE/Essence-29940.html
"Black Rose (Черная Роза) Apple Parfumsfor women","for women",3.5,6,"['rose', 'floral', 'fresh', 'white floral', 'green']",[],"Black Rose (Черная Роза)byApple Parfumsis a Floral fragrance for women.Black Rose (Черная Роза)was launched in 2010.",https://www.fragrantica.com/perfume/Apple-Parfums/Black-Rose-Cernaa-Roza-27073.html
"Best Citrus Ever The Dua Brandfor women and men","for women and men",,,"['woody', 'aromatic', 'citrus', 'powdery', 'amber', 'lavender', 'iris', 'earthy', 'green', 'fresh spicy']",[],"Best Citrus EverbyThe Dua Brandis a Citrus fragrance for women and men.Best Citrus Everwas launched in 2018.",https://www.fragrantica.com/perfume/The-Dua-Brand/Best-Citrus-Ever-85824.html
"Silver Louis Cardinfor men","for men",4.19,16,"['powdery', 'warm spicy', 'amber', 'musky', 'patchouli', 'vanilla', 'floral', 'sweet', 'woody', 'balsamic']",[],"SilverbyLouis Cardinis a Amber Spicy fragrance for men.Silverwas launched in 2011.",https://www.fragrantica.com/perfume/Louis-Cardin/Silver-43102.html
"N.16 InEstasyfor women","for women",,,"['floral', 'amber', 'musky', 'warm spicy', 'powdery', 'citrus']",[],"N.16byInEstasyis a fragrance for women.",https://www.fragrantica.com/perfume/InEstasy/N-16-58940.html
"Caminho das Águas Flores Jequitifor women","for women",,,"['floral', 'citrus', 'fruity']",[],"Caminho das Águas FloresbyJequitiis a Floral fragrance for women.Caminho das Águas Floreswas launched in 2015. Top note is Fruity Notes; middle note is Floral Notes; base note is Citruses.",https://www.fragrantica.com/perfume/Jequiti/Caminho-das-Aguas-Flores-56218.html
"Chicomecoatl Aztequefor women and men","for women and men",4,1,"['woody', 'aromatic', 'fresh spicy', 'green', 'tropical', 'powdery', 'fresh', 'musky', 'fruity']","['Jacopo Luccato']","ChicomecoatlbyAztequeis a Aromatic Fougere fragrance for women and men.Chicomecoatlwas launched in 2020. The nose behind this fragrance is Jacopo Luccato. Top notes are Agave, Strelitzia, Kiwi and Basil; middle notes are Juniper, Rosemary and Green Tea; base notes are Vetiver, Sandalwood, Musk and Cedar.",https://www.fragrantica.com/perfume/Azteque/Chicomecoatl-63532.html
"Al-Jazzab Agar Aurafor women and men","for women and men",4.78,9,"['oud', 'rose']","['Taha Syed']","Al-JazzabbyAgar Aurais a fragrance for women and men. This is a new fragrance.Al-Jazzabwas launched in 2022. The nose behind this fragrance is Taha Syed.",https://www.fragrantica.com/perfume/Agar-Aura/Al-Jazzab-73089.html
"Build Your-Self Armand Basifor women and men","for women and men",3.76,79,"['citrus', 'vanilla', 'floral', 'powdery', 'musky', 'patchouli', 'woody', 'sweet', 'balsamic', 'warm spicy']","['Pierre-Constantin Guéros']","Build Your-SelfbyArmand Basiis a fragrance for women and men. This is a new fragrance.Build Your-Selfwas launched in 2023. The nose behind this fragrance is Pierre-Constantin Guéros. Top notes are Mandarin Orange and Bergamot; middle notes are Play-Doh and Floral Notes; base notes are Vanilla, Patchouli and Musk.",https://www.fragrantica.com/perfume/Armand-Basi/Build-Your-Self-83120.html
"John Varvatos 10th Anniversary Special Edition John Varvatosfor men","for men",4.33,83,"['woody', 'amber', 'citrus', 'warm spicy', 'cinnamon', 'leather', 'patchouli', 'earthy', 'balsamic', 'animalic']","['Rodrigo Flores-Roux']","John Varvatos 10th Anniversary Special EditionbyJohn Varvatosis a fragrance for men.John Varvatos 10th Anniversary Special Editionwas launched in 2010. The nose behind this fragrance is Rodrigo Flores-Roux. Top notes are Cinnamon, Orange and Bergamot; middle notes are Patchouli, Leather and Vetyver; base notes are Woodsy Notes, Amber, Resin and French labdanum.",https://www.fragrantica.com/perfume/John-Varvatos/John-Varvatos-10th-Anniversary-Special-Edition-10231.html
"It's Me For Him Jacomofor men","for men",3.58,40,"['woody', 'balsamic', 'sweet', 'aromatic', 'citrus', 'fresh spicy', 'anis', 'patchouli', 'powdery', 'floral']",[],"It's Me For HimbyJacomois a Woody Floral Musk fragrance for men.It's Me For Himwas launched in 2011. Top notes are Anise, Amalfi Lemon and Grapefruit; middle notes are Tagetes, Patchouli, Lavender, Violet and Jasmine; base notes are Brazilian Rosewood, Amber, Vanille and Musk.",https://www.fragrantica.com/perfume/Jacomo/It-s-Me-For-Him-13427.html
"Viva Viola Ajmalfor women","for women",3.77,56,"['caramel', 'woody', 'patchouli', 'musky', 'sweet', 'powdery', 'warm spicy', 'balsamic', 'earthy']",[],"Viva ViolabyAjmalis a Amber Vanilla fragrance for women.Viva Violawas launched in 2018.",https://www.fragrantica.com/perfume/Ajmal/Viva-Viola-50658.html
"Audrey Badgley Mischkafor women","for women",3.75,16,"['white floral', 'fruity', 'citrus', 'powdery', 'tuberose', 'woody', 'yellow floral', 'fresh spicy', 'animalic']",[],"AudreybyBadgley Mischkais a fragrance for women. This is a new fragrance.Audreywas launched in 2022. Top notes are Honeysuckle, Bergamot and Apricot; middle notes are Tuberose, Immortelle and Osmanthus; base notes are Iris, Cedar and Musk.",https://www.fragrantica.com/perfume/Badgley-Mischka/Audrey-78013.html
"Hippy Flor Agatha Ruiz de la Pradafor women","for women",3.73,26,"['white floral', 'green', 'fresh', 'fruity', 'rose', 'ozonic', 'aquatic', 'citrus', 'patchouli', 'floral']","['Sonia Constant']","Hippy FlorbyAgatha Ruiz de la Pradais a Floral Fruity fragrance for women.Hippy Florwas launched in 2013. The nose behind this fragrance is Sonia Constant. Top notes are Green Apple, Violet Leaf and Mandarin Orange; middle notes are Rose, Lily-of-the-Valley, Jasmine and Gardenia; base notes are Patchouli, Musk and Amber.",https://www.fragrantica.com/perfume/Agatha-Ruiz-de-la-Prada/Hippy-Flor-20403.html
"Life Is Bath Housefor women and men","for women and men",4,1,"['floral', 'musky', 'woody', 'white floral', 'marine', 'fresh', 'aromatic', 'citrus', 'powdery', 'rose']",[],"Life IsbyBath Houseis a Floral Woody Musk fragrance for women and men.Life Iswas launched in 2021. Top notes are Freesia and Orange Blossom; middle notes are Peony and Sea Notes; base notes are Precious Woods and Musk.",https://www.fragrantica.com/perfume/Bath-House/Life-Is-78079.html
"Cuba Grey Cuba Parisfor men","for men",3.64,101,"['woody', 'aromatic', 'lavender', 'earthy', 'fresh spicy']",[],"Cuba GreybyCuba Parisis a Woody Aromatic fragrance for men.",https://www.fragrantica.com/perfume/Cuba-Paris/Cuba-Grey-9085.html
"Wonder DOCUMENTSfor women and men","for women and men",5,1,"['warm spicy', 'citrus', 'musky', 'woody', 'fresh spicy', 'fresh', 'aromatic', 'green', 'powdery']",[],"WonderbyDOCUMENTSis a fragrance for women and men.Wonderwas launched during the 2020's. Top notes are Cardamom, Ginger and Lemon; middle notes are Black Tea and Fenugreek; base notes are Guaiac Wood and Musk.",https://www.fragrantica.com/perfume/DOCUMENTS/Wonder-93772.html
