Name,Gender,"Rating Value","Rating Count","Main Accords",Perfumers,Description,url
"01 Magic Onsen Zarafor women","for women",3.38,40,"['musky', 'white floral', 'woody', 'powdery', 'amber', 'animalic', 'citrus', 'sweet']",[],"01 Magic OnsenbyZarais a Floral Woody Musk fragrance for women.01 Magic Onsenwas launched in 2017.",https://www.fragrantica.com/perfume/Zara/01-Magic-Onsen-43457.html
"Eau de Shalimar Edition Charms Guerlainfor women","for women",4.56,79,"['citrus', 'vanilla', 'powdery', 'iris', 'rose', 'fresh spicy', 'sweet', 'floral']",[],"Eau de Shalimar Edition CharmsbyGuerlainis a Floral Fruity fragrance for women.Eau de Shalimar Edition Charmswas launched in 2010. Top notes are Lime, Bergamot and Orange; middle notes are Vanilla, Rose and Jasmine; base notes are Vanilla and Iris.",https://www.fragrantica.com/perfume/Guerlain/Eau-de-Shalimar-Edition-Charms-25332.html
"Miss Julie Arno Sorelfor women","for women",4.33,3,"['woody', 'fresh', 'floral', 'aquatic', 'fruity', 'powdery', 'warm spicy', 'citrus', 'vanilla', 'green']",[],"Miss JuliebyArno Sorelis a Floral Aquatic fragrance for women. Top notes are Apple, Lemon and Water Notes; middle notes are Freesia, Water Lily and Vanilla; base notes are Sandalwood, Cedar, Spicy Notes and Musk.",https://www.fragrantica.com/perfume/Arno-Sorel/Miss-Julie-27525.html
"Pure Grace Summer Surf Philosophyfor women","for women",4.09,53,"['marine', 'musky', 'white floral', 'aromatic', 'woody', 'powdery', 'salty', 'aquatic', 'sweet', 'fruity']",[],"Pure Grace Summer SurfbyPhilosophyis a Floral Woody Musk fragrance for women.Pure Grace Summer Surfwas launched in 2017. Top note is Tiare Flower; middle note is Sea Notes; base notes are Musk and Woodsy Notes.",https://www.fragrantica.com/perfume/Philosophy/Pure-Grace-Summer-Surf-43764.html
"Glamour Infinit O Boticáriofor women","for women",3.25,4,"['fruity', 'floral', 'sweet', 'powdery', 'fresh spicy', 'iris', 'musky']",[],"Glamour InfinitbyO Boticáriois a Floral fragrance for women.Glamour Infinitwas launched in 2011. Top notes are Plum, Bergamot Blossom, Pepper and Flowers; middle notes are Iris, Lotus and Osmanthus; base notes are Tonka Bean, Musk and Sandalwood.",https://www.fragrantica.com/perfume/O-Boticario/Glamour-Infinit-75530.html
"Fuel for Life Homme Dieselfor men","for men",3.91,"3,104","['fruity', 'sweet', 'anis', 'lavender', 'soft spicy', 'citrus', 'woody', 'aromatic', 'fresh spicy', 'floral']","['Annick Menardo', 'Jacques Cavallier']","Fuel for Life HommebyDieselis a Aromatic Fougere fragrance for men.Fuel for Life Hommewas launched in 2007. Fuel for Life Homme was created by Annick Menardo and Jacques Cavallier. Top notes are Anise and Grapefruit; middle notes are Raspberry and Lavender; base notes are Woodsy Notes and Heliotrope.",https://www.fragrantica.com/perfume/Diesel/Fuel-for-Life-Homme-1605.html
"Varens For Men Tabac Coton Ulric de Varensfor men","for men",4.44,18,"['sweet', 'tobacco', 'woody', 'vanilla', 'musky', 'amber', 'powdery', 'fruity', 'aromatic', 'rum']",[],"Varens For Men Tabac CotonbyUlric de Varensis a fragrance for men. This is a new fragrance.Varens For Men Tabac Cotonwas launched in 2023. Top notes are Rum and Bergamot; middle notes are Tobacco and Cedar; base notes are Tonka, Musk and Dates.",https://www.fragrantica.com/perfume/Ulric-de-Varens/Varens-For-Men-Tabac-Coton-88504.html
"Stellar Dreamers Ex Nihilofor women and men","for women and men",4.46,13,"['fruity', 'sweet', 'leather', 'oud', 'animalic', 'amber', 'tuberose', 'white floral', 'vanilla', 'warm spicy']","['Jordi Fernández']","Stellar DreamersbyEx Nihilois a Leather fragrance for women and men. The nose behind this fragrance is Jordi Fernández. Top notes are Saffron and Pink Pepper; middle notes are Plum, Tuberose and Rose; base notes are Agarwood (Oud), Leather, Amber and Vanilla.",https://www.fragrantica.com/perfume/Ex-Nihilo/Stellar-Dreamers-72931.html
"Ambre Lumiere Voluspafor women and men","for women and men",4.38,8,"['amber', 'warm spicy', 'patchouli', 'balsamic', 'vanilla']",[],"Ambre LumierebyVoluspais a Amber fragrance for women and men.Ambre Lumierewas launched in 2010. Top note is Light Amber; middle note is Vanilla; base notes are Benzoin and Indonesian Patchouli Leaf.",https://www.fragrantica.com/perfume/Voluspa/Ambre-Lumiere-26348.html
"Mempasa Al-Rehabfor women and men","for women and men",3.67,3,"['almond', 'nutty', 'fruity', 'sweet']",[],"MempasabyAl-Rehabis a Amber fragrance for women and men.Mempasawas launched in 2016.",https://www.fragrantica.com/perfume/Al-Rehab/Mempasa-58743.html
"Peperoncino Dr. Taffifor women","for women",3.5,8,"['warm spicy']",[],"PeperoncinobyDr. Taffiis a Aromatic Spicy fragrance for women.",https://www.fragrantica.com/perfume/Dr-Taffi/Peperoncino-16834.html
"Sexy Blossom Michael Korsfor women","for women",3.71,194,"['floral', 'fresh', 'rose', 'green', 'aquatic', 'white floral', 'fruity', 'musky', 'tropical', 'powdery']",[],"Sexy BlossombyMichael Korsis a Floral Woody Musk fragrance for women.Sexy Blossomwas launched in 2016. Top notes are Litchi, Green Leaves, Dew Drop and Rose Petals; middle notes are Peony, Lily-of-the-Valley, Freesia and Orchid; base notes are Musk, Ambroxan and Sandalwood.",https://www.fragrantica.com/perfume/Michael-Kors/Sexy-Blossom-40924.html
"Egeo Cherry Blast O Boticáriofor women","for women",3.86,413,"['sweet', 'fruity', 'cherry', 'caramel', 'vanilla']","['Emilie Bevierre-Coppermann', 'Leslie Gauthier']","Egeo Cherry BlastbyO Boticáriois a Amber Floral fragrance for women. This is a new fragrance.Egeo Cherry Blastwas launched in 2022. Egeo Cherry Blast was created by Emilie Bevierre-Coppermann and Leslie Gauthier. Top notes are Cherry, Syrup, Raspberry, Blackberry, Cassis, Pineapple, Nashi Pear, Bergamot and Cupuacu, Cupuassu, Copoasu; middle notes are Tiramisu, Almond, Rose, Tuberose, Violet, Ylang-Ylang and Curry; base notes are Caramel, Vanilla, Sandalwood, Musk and Cedar.",https://www.fragrantica.com/perfume/O-Boticario/Egeo-Cherry-Blast-71735.html
"Pucker Up Haught Parfumsfor women and men","for women and men",3,2,"['sweet', 'citrus', 'coconut', 'lactonic', 'vanilla']","['Jarekhye Covarrubias']","Pucker UpbyHaught Parfumsis a Amber Vanilla fragrance for women and men.Pucker Upwas launched in 2015. The nose behind this fragrance is Jarekhye Covarrubias. Top notes are Butter, Lemon Zest and Lemon; middle notes are Biscuit, Coconut, Limoncello, Lemon Verbena and Green Notes; base notes are Sugar, White Chocolate and White Musk.",https://www.fragrantica.com/perfume/Haught-Parfums/Pucker-Up-36057.html
"Kismet Essenzialmente Laurafor women and men","for women and men",4.33,3,"['amber', 'balsamic', 'warm spicy', 'sweet', 'vanilla', 'aromatic']","['Laura Bosetti Tonatto']","KismetbyEssenzialmente Laurais a Amber Vanilla fragrance for women and men. The nose behind this fragrance is Laura Bosetti Tonatto.",https://www.fragrantica.com/perfume/Essenzialmente-Laura/Kismet-42517.html
"Açaí O Boticáriofor women","for women",4.18,39,"['fruity', 'sweet', 'vanilla']",[],"AçaíbyO Boticáriois a Floral Fruity fragrance for women.Açaíwas launched in 2018. Top notes are Plum, Acai Berry, Apple, Cherry and Green Notes; middle notes are Freesia, Raspberry, Almond and Yogurt; base notes are Vanilla, Sweet Notes, Heliotrope, Oily Notes and Sandalowood.",https://www.fragrantica.com/perfume/O-Boticario/Acai-56345.html
"Mukhallat Dahn Al Oudh Moattaq Ajmalfor women and men","for women and men",4.6,67,"['animalic', 'rose', 'woody', 'musky', 'powdery', 'oud', 'warm spicy', 'floral']",[],"Mukhallat Dahn Al Oudh MoattaqbyAjmalis a Woody Floral Musk fragrance for women and men.Mukhallat Dahn Al Oudh Moattaqwas launched in 2017. Top notes are Turkish Rose, Indian Oud, Woodsy Notes and Exotic Spices; middle notes are Cambodian Oud and Amber; base notes are Rose, Animal notes, Musk and Powdery Notes.",https://www.fragrantica.com/perfume/Ajmal/Mukhallat-Dahn-Al-Oudh-Moattaq-51253.html
"CiocoSpesizissimo Hilde Solianifor women and men","for women and men",3.68,47,"['chocolate', 'warm spicy', 'fresh spicy', 'sweet', 'aromatic', 'green', 'cacao', 'woody']","['Hilde Soliani']","CiocoSpesizissimobyHilde Solianiis a Aromatic Spicy fragrance for women and men. The nose behind this fragrance is Hilde Soliani.",https://www.fragrantica.com/perfume/Hilde-Soliani/CiocoSpesizissimo-10242.html
"Sheer Beauty Essence Calvin Kleinfor women","for women",3.68,616,"['floral', 'fresh', 'rose', 'fruity', 'musky']",[],"Sheer Beauty EssencebyCalvin Kleinis a Floral fragrance for women.Sheer Beauty Essencewas launched in 2013. Top notes are Pear Blossom and White Peach; middle notes are Lilac, Turkish Rose, Peony and Magnolia; base notes are Musk, Vanilla and Cedar.",https://www.fragrantica.com/perfume/Calvin-Klein/Sheer-Beauty-Essence-18124.html
"Whisky Nobile Farmacia SS. Annunziatafor women and men","for women and men",4.33,85,"['warm spicy', 'whiskey', 'cacao', 'woody', 'coffee', 'vanilla', 'amber', 'smoky', 'leather']",[],"Whisky NobilebyFarmacia SS. Annunziatais a Woody fragrance for women and men.Whisky Nobilewas launched in 2021. Top notes are Coffee, Incense and Orange Blossom; middle notes are Whiskey, Cacao and Styrax; base notes are Vanilla, Leather, Agarwood (Oud), Saffron and Vetiver.",https://www.fragrantica.com/perfume/Farmacia-SS-Annunziata/Whisky-Nobile-71600.html
"MIrra for Men Mirrafor men","for men",5,1,"['aromatic', 'woody', 'fresh spicy', 'citrus', 'musky', 'patchouli', 'powdery', 'green', 'warm spicy', 'earthy']",[],"MIrra for MenbyMirrais a Citrus Aromatic fragrance for men.",https://www.fragrantica.com/perfume/Mirra/MIrra-for-Men-33902.html
"Vodka Extreme Paris Elyseesfor men","for men",3.89,95,"['woody', 'aromatic', 'musky', 'fresh spicy', 'patchouli', 'herbal', 'conifer', 'warm spicy', 'balsamic', 'powdery']",[],"Vodka ExtremebyParis Elyseesis a Aromatic fragrance for men.Vodka Extremewas launched in 2001. Top notes are Artemisia and Rosemary; middle notes are Pine and Geranium; base notes are Musk and Patchouli.",https://www.fragrantica.com/perfume/Paris-Elysees/Vodka-Extreme-35279.html
"Signature Lovers For Man Replayfor men","for men",4.12,26,"['fruity', 'aromatic', 'warm spicy', 'woody', 'lavender', 'sweet', 'amber', 'citrus', 'fresh spicy', 'violet']",[],"Signature Lovers For ManbyReplayis a Woody Aromatic fragrance for men.Signature Lovers For Manwas launched in 2020. Top notes are Plum, Mandarin Orange and Pomelo; middle notes are Cardamom, Lavender and Violet; base notes are Labdanum, Guaiac Wood and Bourbon Vetiver.",https://www.fragrantica.com/perfume/Replay/Signature-Lovers-For-Man-60321.html
